samand,1400,0,138800000
samand,1396,82000,145000000
samand,1386,300000,147000000
samand,1397,71000,169000000
samand,1395,0,172000000
samand,1395,21600,120000000
samand,1389,180000,278000000
samand,1390,240000,142000000
samand,1396,134000,135000000
samand,1395,240000,165000000
samand,1397,80000,115000000
samand,1399,10000,96000000
samand,1398,58000,235000000
samand,1397,45000,64000000
samand,1386,280000,165000000
samand,1384,500000,105000000
samand,1382,160000,135000000
samand,1400,0,185000000
samand,1400,0,170000000
samand,1396,72000,133000000
samand,1396,82000,165000000
samand,1392,230000,145000000
samand,1397,62000,122000000
samand,1394,112000,115000000
samand,1399,0,130000000
samand,1393,180000,156000000
samand,1399,700,102000000
